date,open,high,low,close,change_pct
2025-10-08,136.32,138.15,136.32,138.15,2.09
2025-10-09,140.65,142.63,140.65,142.63,3.24
2025-10-10,150.46,159.29,150.46,159.29,11.69
2025-10-13,159.63,159.67,159.63,159.67,0.24
2025-10-14,155.66,155.66,152.02,152.02,-4.79
2025-10-15,147.19,147.19,145.1,145.1,-4.56
2025-10-16,144.76,148.54,144.76,148.54,2.38
2025-10-17,147.38,147.38,146.76,146.76,-1.2
2025-10-20,145.09,145.09,142.93,142.93,-2.61
2025-10-21,140.76,140.76,140.29,140.29,-1.85
2025-10-22,143.12,146.74,143.12,146.74,4.6
2025-10-23,145.57,145.57,144.28,145.57,-0.8
2025-10-24,144.29,144.29,143.44,144.29,-0.88
2025-10-27,137.61,137.61,135.15,137.61,-4.63
2025-10-28,136.65,136.81,136.65,136.65,-0.7
2025-10-29,136.97,138.0,136.97,136.97,0.23
2025-10-30,138.67,138.8,138.67,138.67,1.24
2025-10-31,138.47,138.64,138.47,138.47,-0.14
2025-11-03,138.64,138.64,138.64,138.64,0.12
2025-11-04,140.81,141.78,140.81,140.81,1.56
2025-11-05,140.28,140.56,140.28,140.28,-0.37
2025-11-06,143.23,144.24,143.23,143.23,2.1
2025-11-07,146.09,146.09,146.09,146.09,2.0
